##,2004,2008,2013,2018,state,constituency,malay_voter_ratio,non_malay_voter_ratio,malay_voters,muslim_bumiputera_voters,chinese_voters,indian_voters,others_voters,non-muslim_bumiputera_voters
P167,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Kudat,47,51,0,47,11,0,0,40
P168,BN-PBS,BN-PBS,BN-PBS,BN-PBS,Sabah,Kota Marudu,26,73,0,26,2,0,0,71
P169,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Kota Belud,59,41,0,59,2,0,0,39
P170,BN-UPKO,BN-UPKO,BN-UPKO,BN-UPKO,Sabah,Tuaran,44,56,0,44,6,0,0,50
P171,BN-SAPP,BN-SAPP,BN-UMNO,WARISAN,Sabah,Sepanggar,52,45,0,52,19,0,0,26
P172,BN-PBS,PR-DAP,PR-DAP,PH-DAP,Sabah,Kota Kinabalu,15,83,0,15,70,0,0,13
P173,BN-UPKO,BN-UPKO,BN-UPKO,PH-PKR,Sabah,Putatan,63,34,0,63,19,0,0,15
P174,BN-UPKO,BN-UPKO,PR-PKR,WARISAN,Sabah,Penampang,16,82,0,16,32,0,0,50
P175,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Papar,60,39,0,60,9,0,0,30
P176,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Kimanis,60,38,0,60,4,0,0,34
P177,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Beaufort,61,38,0,61,8,0,0,30
P178,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Sipitang,58,40,0,58,4,0,0,36
P179,BN-UPKO,BN-UPKO,BN-UPKO,PH-PKR,Sabah,Ranau,11,89,0,11,2,0,0,87
P180,BN-PBS,BN-PBS,BN-PBS,USA-STAR,Sabah,Keningau,18,80,0,18,10,0,0,70
P181,BN-UMNO,BN-UMNO,BN-UMNO,PH-DAP,Sabah,Tenom,21,78,0,21,12,0,0,66
P182,BN-PBRS,BN-PBRS,BN-PBRS,BN-PBRS,Sabah,Pensiangan,12,87,0,12,1,0,0,86
P183,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Beluran,40,59,0,40,0,0,3,56
P184,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Libaran,57,36,0,57,21,0,0,15
P185,BN-PBS,BN-PBS,BN-PBS,WARISAN,Sabah,Batu Sapi,51,41,0,51,33,0,0,8
P186,IND,BN-LDP,PR-DAP,PH-DAP,Sabah,Sandakan,34,61,0,34,53,0,0,8
P187,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Sabah,Kinabatangan,42,58,0,42,0,0,6,52
P188,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Silam,64,26,0,64,13,0,0,13
P189,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Semporna,96,4,0,96,2,0,2,0
P190,BN-SAPP,BN-SAPP,BN-PBS,PH-PKR,Sabah,Tawau,50,46,0,50,38,0,8,0
P191,BN-UMNO,BN-UMNO,BN-UMNO,WARISAN,Sabah,Kalabakan,70,23,0,70,11,0,12,0
P192,BN-SPDP,BN-SPDP,BN-SPDP,PH-DAP,Sarawak,Mas Gading,13,87,0,13,19,0,0,68
P193,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Santubong,83,17,0,83,8,0,0,9
P194,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Petra Jaya,79,20,0,79,12,0,0,8
P195,DAP,PR-DAP,PR-DAP,PH-DAP,Sarawak,Bandar Kuching,5,94,0,5,91,0,0,3
P196,BN-SUPP,BN-SUPP,PR-DAP,PH-DAP,Sarawak,Stampin,13,86,0,13,73,0,0,13
P197,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Kota Samarahan,65,34,0,65,12,0,0,22
P198,BN-PBB,BN-PBB,BN-PBB,PH-PKR,Sarawak,Puncak Borneo (previously known as Mambong),12,88,0,12,27,0,0,61
P199,BN-SUPP,BN-SUPP,BN-SUPP,BN-SUPP,Sarawak,Serian,15,86,0,15,11,0,0,75
P200,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Batang Sadong,74,27,0,74,6,0,0,21
P201,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Batang Lupar,77,23,0,77,3,0,0,20
P202,BN-PBDS,BN-PRS,BN-PRS,BN-PRS,Sarawak,Sri Aman,20,80,0,20,17,0,0,63
P203,BN-PBDS,BN-PRS,BN-PRS,IND,Sarawak,Lubok Antu,18,82,0,18,8,0,0,74
P204,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Betong,50,50,0,50,7,0,0,43
P205,BN-SPDP,BN-SPDP,BN-SPDP,PH-PKR,Sarawak,Saratok,44,56,0,44,7,0,0,49
P206,BN-PBB,BN-PBB,BN-PBB,BN-PBB,Sarawak,Tanjong Manis,74,25,0,74,5,0,0,20
P207,BN-SUPP,BN-PBB,BN-PBB,BN-PBB,Sarawak,Igan,81,19,0,81,4,0,0,15
P208,BN-PBDS,BN-SUPP,PR-DAP,PH-DAP,Sarawak,Sarikei,11,89,0,11,66,0,0,23
P209,BN-PBDS,BN-PRS,BN-PRS,IND,Sarawak,Julau,12,88,0,12,5,0,0,83
P210,BN-SUPP,BN-PRS,BN-PRS,BN-PRS,Sarawak,Kanowit,16,84,0,16,12,0,0,72
P211,BN-SUPP,BN-SUPP,PR-DAP,PH-DAP,Sarawak,Lanang,10,90,0,10,72,0,0,18
P212,BN-PBB,BN-SUPP,PR-DAP,PH-DAP,Sarawak,Sibu,20,80,0,20,65,0,0,15
P213,BN-PBDS,BN-PBB,BN-PBB,BN-PBB,Sarawak,Mukah,75,26,0,75,10,0,0,16
P214,BN-PBB,BN-PRS,BN-PRS,PH-PKR,Sarawak,Selangau,13,87,0,13,4,0,0,83
P215,BN-PBDS,BN-PBB,BN-PBB,BN-PBB,Sarawak,Kapit,22,78,0,22,10,0,0,68
P216,BN-SPDP,BN-PRS,BN-PRS,BN-PRS,Sarawak,Hulu Rajang,20,79,0,20,0,0,2,77
P217,BN-SUPP,BN-SPDP,BN-SPDP,BN-PDP,Sarawak,Bintulu,29,72,0,29,28,0,0,44
P218,BN-SPDP,BN-PBB,BN-PBB,BN-PBB,Sarawak,Sibuti,33,66,0,33,22,0,0,44
P219,BN-PBB,BN-SUPP,PR-PKR,PH-PKR,Sarawak,Miri,26,74,0,26,57,0,0,17
P220,,BN-SPDP,BN-SPDP,BN-PDP,Sarawak,Baram,21,79,0,21,9,0,0,70
P221,,BN-PBB,BN-PBB,BN-PBB,Sarawak,Limbang,45,54,0,45,19,0,0,35
P222,,BN-PBB,BN-PBB,BN-PBB,Sarawak,Lawas,43,57,0,43,10,0,0,47
